taxonID	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
38239	26	0	0	0	0	0	0	13	0	0	0	0	0	0	0	d_Bacteria;p_Patescibacteria;c_Paceibacteria;o_Paceibacterales;f_UBA5633;g_MWCK01;s_MWCK01 sp002070005
38700	0	0	0	0	0	0	0	0	0	0	0	57	0	0	116	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas sp002329155
38774	204	15	0	0	0	0	0	0	41	51	0	25	37	0	263	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Leucobacter;s_Leucobacter sp002336855
38872	0	0	0	0	0	0	0	0	0	0	506	0	21	0	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Metasolibacillus;s_Metasolibacillus sp002360295
38912	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_UBA3818;s_UBA3818 sp002369315
39148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Carnobacteriaceae;g_Carnobacterium A;s_Carnobacterium A sp002418295
39149	0	49	106	0	944	42	230	38	23	39	0	24	0	100	201	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Rothia sp002418375
39235	367	0	0	0	0	0	0	0	0	0	0	1888	0	0	976	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002430835
39313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Psychrobacter;s_Psychrobacter sp002453355
39315	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella sp002453895
39339	61	0	0	0	0	0	0	0	0	0	0	115	51	0	77	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Comamonas;s_Comamonas sp002472915
39351	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002479325
39357	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002479495
39378	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_CAG-485;s_CAG-485 sp002491945
39381	57	0	0	0	0	0	0	0	0	0	29	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola;s_Phocaeicola sp002493165
39382	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Limivicinus;s_Limivicinus sp002493305
39385	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_CAG-485;s_CAG-485 sp002493515
39905	461	0	0	0	0	0	0	116	0	0	0	192	0	0	775	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Nocardioidaceae;g_Nocardioides;s_Nocardioides sp002729525
40083	0	0	286	0	955	0	230	0	0	0	0	0	0	0	0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae;g_Pseudonocardia;s_Pseudonocardia alni
40327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_UBA2632;s_UBA2632 sp002364735
40328	41	0	0	0	0	0	0	70	0	0	14	5741	85	0	1188	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella;s_Shinella sp002364745
40329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas maltophilia AX
40494	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002387245
40671	0	0	0	0	0	0	0	29	0	0	0	71	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas;s_Sphingomonas sp002403415
40746	0	785	0	0	0	0	0	0	7233	0	0	0	0	0	0	d_Bacteria;p_Myxococcota A;c_UBA9160;o_UBA9160;f_UBA4427;g_TMED88;s_TMED88 sp002171515
40763	0	0	0	0	0	0	0	14	0	0	0	70	0	0	117	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella sp002415135
40921	0	0	0	0	0	0	0	0	0	0	0	4298	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pulveribacter;s_Pulveribacter sp002434305
40923	0	0	0	0	0	0	0	154	0	0	0	225	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002434505
41045	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas subvibrioides C
41420	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp002483865
41575	183	0	0	0	0	0	0	0	0	0	0	966	0	0	522	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas sp002345545
41577	252	0	0	0	0	0	0	0	0	0	0	169	0	0	593	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas A;s_Pseudomonas A stutzeri S
41614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Rhodocyclaceae;g_UBA2250;s_UBA2250 sp002347405
42229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1110	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas;s_Luteimonas sp002798175
42299	38	1594	0	0	0	0	0	0	5808	0	0	0	0	0	0	d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_UBA1268;g_UBA1268;s_UBA1268 sp002862165
42324	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Halieaceae;g_Halioglobus;s_Halioglobus sp002862985
42880	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Butyricicoccaceae;g_Agathobaculum;s_Agathobaculum butyriciproducens
42881	0	0	0	0	0	0	0	78	0	0	0	149	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Methylobacterium;s_Methylobacterium organophilum
42983	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes sp003979135
42988	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_UBA7050;s_UBA7050 sp003979345
42994	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Curvibacter;s_Curvibacter sp003987795
43519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	d_Bacteria;p_Firmicutes;c_Bacilli;o_Staphylococcales;f_Salinicoccaceae;g_Jeotgalicoccus;s_Jeotgalicoccus sp003513765
43579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium sp003524435
43593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1863	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pelomonas;s_Pelomonas depolymerans A
43598	155	0	0	0	0	0	0	267	25	32	0	29	15	0	62	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Lawsonella;s_Lawsonella clevelandensis A
43601	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Angulomicrobium;s_Angulomicrobium novellum A
43615	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium psychrophilum B
